揉む<div class="hint">rub; massage</div>,もむ,rub; massage,<ruby>肩<rt>かた</rt></ruby>を <ruby>揉<rt>も</rt></ruby>んでください。,Please massage my shoulders.,verb
公明<div class="hint">fairness; justice</div>,こうめい,fairness; justice,<ruby>役員<rt>やくいん</rt></ruby>は <ruby>公明<rt>こうめい</rt></ruby>な <ruby>選挙<rt>せんきょ</rt></ruby>で <ruby>決<rt>き</rt></ruby>めましょう。,Let's select the committee members by a fair election.,
園芸<div class="hint">gardening</div>,えんげい,gardening,<ruby>祖父<rt>そふ</rt></ruby>の <ruby>趣味<rt>しゅみ</rt></ruby>は <ruby>園芸<rt>えんげい</rt></ruby>です。,My grandfather's hobby is gardening.,
田園<div class="hint">fields and gardens; rural districts</div>,でんえん,fields and gardens; rural districts,<ruby>窓<rt>まど</rt></ruby>から <ruby>美<rt>うつく</rt></ruby>しい <ruby>田園<rt>でんえん</rt></ruby> <ruby>風景<rt>ふうけい</rt></ruby>が <ruby>見<rt>み</rt></ruby>えます。,I can see a beautiful pastoral landscape from the window.,
間際<div class="hint">just before</div>,まぎわ,just before,<ruby>出発<rt>しゅっぱつ</rt></ruby> <ruby>間際<rt>まぎわ</rt></ruby>になって <ruby>雨<rt>あめ</rt></ruby>が <ruby>降り<ruby>出<rt>ふりだ</rt></ruby>した。,Just as we were setting off it began to rain.,
航海<div class="hint">voyage</div>,こうかい,voyage,<ruby>航海<rt>こうかい</rt></ruby>の <ruby>安全<rt>あんぜん</rt></ruby>を <ruby>祈<rt>いの</rt></ruby>っています。,I pray for safety on the sea voyage.,
航路<div class="hint">course; sea route</div>,こうろ,course; sea route,<ruby>地図<rt>ちず</rt></ruby>に <ruby>航路<rt>こうろ</rt></ruby>が <ruby>書<rt>か</rt></ruby>いてあります。,The sea routes are written on the map.,
造船<div class="hint">shipbuilding</div>,ぞうせん,shipbuilding,<ruby>造船<rt>ぞうせん</rt></ruby>は <ruby>重要<rt>じゅうよう</rt></ruby>な <ruby>産業<rt>さんぎょう</rt></ruby>です。,Shipbuilding is an important industry.,
成分<div class="hint">component; ingredient</div>,せいぶん,component; ingredient,この <ruby>薬<rt>くすり</rt></ruby>の <ruby>成分<rt>せいぶん</rt></ruby>は <ruby>何<rt>なん</rt></ruby>ですか。,What are the ingredients in this medicine?,
チェーン<div class="hint">chain</div>,ちぇーん,chain,<ruby>雪<rt>ゆき</rt></ruby> <ruby>道<rt>みち</rt></ruby>を <ruby>走<rt>はし</rt></ruby>るにはチェーンが <ruby>必要<rt>ひつよう</rt></ruby>だ。,Chains are required to drive on snowy roads.,
失格<div class="hint">disqualification</div>,しっかく,disqualification,その <ruby>選手<rt>せんしゅ</rt></ruby>は <ruby>薬物<rt>やくぶつ</rt></ruby> <ruby>使用<rt>しよう</rt></ruby>で <ruby>失格<rt>しっかく</rt></ruby>になった。,The player was disqualified due to drug use.,
過失<div class="hint">error; negligence</div>,かしつ,error; negligence,<ruby>運転<rt>うんてん</rt></ruby> <ruby>手<rt>しゅ</rt></ruby>の <ruby>過失<rt>かしつ</rt></ruby>から <ruby>大<rt>だい</rt></ruby> <ruby>事故<rt>じこ</rt></ruby>になってしまった。,Due to the fault of the driver; there was a major accident.,
敗北<div class="hint">defeat; setback</div>,はいぼく,defeat; setback,<ruby>彼<rt>かれ</rt></ruby>は <ruby>敗北<rt>はいぼく</rt></ruby>を <ruby>認<rt>みと</rt></ruby>めなかった。,He did not admit defeat.,
原始<div class="hint">primeval; primitive</div>,げんし,primeval; primitive,<ruby>原始時代<rt>げんしじだい</rt></ruby>の <ruby>住居<rt>じゅうきょ</rt></ruby> <ruby>跡<rt>あと</rt></ruby>が <ruby>見<rt>み</rt></ruby>つかった。,The remains of a dwelling from primitive times was found.,
原作<div class="hint">original</div>,げんさく,original,この <ruby>小説<rt>しょうせつ</rt></ruby>の <ruby>原作<rt>げんさく</rt></ruby>は <ruby>英語<rt>えいご</rt></ruby>で <ruby>書<rt>か</rt></ruby>かれています。,This novel was originally written in English.,
原子<div class="hint">atom</div>,げんし,atom,<ruby>物<rt>もの</rt></ruby>のいちばん <ruby>小<rt>ちい</rt></ruby>さい <ruby>単位<rt>たんい</rt></ruby>が <ruby>原子<rt>げんし</rt></ruby>です。,The smallest particles are atoms.,
原点<div class="hint">origin; starting point</div>,げんてん,origin; starting point,<ruby>原点<rt>げんてん</rt></ruby>に <ruby>戻<rt>もど</rt></ruby>って <ruby>考<rt>かんが</rt></ruby>えてください。,Go back to the starting point and think.,
原告<div class="hint">plaintiff</div>,げんこく,plaintiff,<ruby>原告<rt>げんこく</rt></ruby>の <ruby>訴<rt>うった</rt></ruby>えが <ruby>認<rt>みと</rt></ruby>められた。,The plaintiff's appeal was accepted.,
川原<div class="hint">dry riverbed</div>,かわら,dry riverbed,<ruby>私<rt>わたし</rt></ruby>たちは <ruby>川原<rt>かわら</rt></ruby>でバーベキューをしました。,We had the barbecue on the dry river bed.,
資本<div class="hint">capital; funds</div>,しほん,capital; funds,<ruby>会社<rt>かいしゃ</rt></ruby>は <ruby>資本<rt>しほん</rt></ruby>なしには <ruby>成長<rt>せいちょう</rt></ruby>できない。,The company cannot grow without capital.,
源<div class="hint">fountainhead; source</div>,みなもと,fountainhead; source,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>笑顔<rt>えがお</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>の <ruby>元気<rt>げんき</rt></ruby>の <ruby>源<rt>みなもと</rt></ruby>です。,Her smile is the source of my energy.,
電源<div class="hint">power source</div>,でんげん,power source,パソコンの <ruby>電源<rt>でんげん</rt></ruby>は <ruby>入<rt>はい</rt></ruby>っていますか。,Is the computer switched on?,
語源<div class="hint">etymology</div>,ごげん,etymology,この 2つの <ruby>言葉<rt>ことば</rt></ruby>の <ruby>語源<rt>ごげん</rt></ruby>は <ruby>同<rt>おな</rt></ruby>じです。,The etymology of these two words is the same.,
出願<div class="hint">application</div>,しゅつがん,application,<ruby>都内<rt>とない</rt></ruby>の <ruby>大学<rt>だいがく</rt></ruby> 3 <ruby>校<rt>こう</rt></ruby>に <ruby>出願<rt>しゅつがん</rt></ruby>しました。,I applied to three universities in Tokyo.,
ウイルス<div class="hint">virus</div>,ういるす,virus,<ruby>彼女<rt>かのじょ</rt></ruby>はウイルス <ruby>性<rt>せい</rt></ruby>の <ruby>病気<rt>びょうき</rt></ruby>に <ruby>感染<rt>かんせん</rt></ruby>しました。,She was infected with a viral sickness.,
正面<div class="hint">front; frontage</div>,まとも,front; frontage,<ruby>彼<rt>かれ</rt></ruby>の <ruby>考え<ruby>方<rt>かんがえかた</rt></ruby>はまともではない。,His way of thinking does not hold water.,
公正<div class="hint">fairness; justice</div>,こうせい,fairness; justice,<ruby>裁判<rt>さいばん</rt></ruby>は <ruby>公正<rt>こうせい</rt></ruby>であるべきだ。,Trials should be fair.,
正規<div class="hint">formal; regular</div>,せいき,formal; regular,これは <ruby>正規<rt>せいき</rt></ruby>のルートで <ruby>入手<rt>にゅうしゅ</rt></ruby>した <ruby>情報<rt>じょうほう</rt></ruby>ではない。,This information is not acquired through the proper channels.,
正体<div class="hint">true characters</div>,しょうたい,true characters,<ruby>次回<rt>じかい</rt></ruby> <ruby>謎<rt>なぞ</rt></ruby>の <ruby>人物<rt>じんぶつ</rt></ruby>の <ruby>正体<rt>しょうたい</rt></ruby>が <ruby>明<rt>あ</rt></ruby>かされる。,Next time; the true character of the mysterious person will be revealed.,
異動<div class="hint">reshuffle; shifting</div>,いどう,reshuffle; shifting,<ruby>社内<rt>しゃない</rt></ruby>で <ruby>異動<rt>いどう</rt></ruby>の <ruby>発表<rt>はっぴょう</rt></ruby>があった。,The company reorganization was announced.,
特異<div class="hint">peculiar; unique</div>,とくい,peculiar; unique,<ruby>彼<rt>かれ</rt></ruby>は <ruby>特異<rt>とくい</rt></ruby>な <ruby>才能<rt>さいのう</rt></ruby>の <ruby>持ち<ruby>主<rt>もちぬし</rt></ruby>です。,He has an unusual talent.,
常用<div class="hint">common use; daily use</div>,じょうよう,common use; daily use,<ruby>容疑<rt>ようぎ</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>は <ruby>薬物<rt>やくぶつ</rt></ruby>を <ruby>常用<rt>じょうよう</rt></ruby>していました。,The suspect was using drugs regularly.,
平常<div class="hint">normal; ordinary</div>,へいじょう,normal; ordinary,<ruby>夏休<rt>なつやす</rt></ruby>みが <ruby>終<rt>お</rt></ruby>わって <ruby>平常<rt>へいじょう</rt></ruby>の <ruby>授業<rt>じゅぎょう</rt></ruby>に <ruby>戻<rt>もど</rt></ruby>りました。,Summer vacation ended and we returned to normal classes.,
識別<div class="hint">distinction</div>,しきべつ,distinction,この <ruby>機械<rt>きかい</rt></ruby>で <ruby>指紋<rt>しもん</rt></ruby>の <ruby>識別<rt>しきべつ</rt></ruby>ができます。,This machine can identify fingerprints.,
非<div class="hint">wrong; wrongdoing</div>,ひ,wrong; wrongdoing,<ruby>彼<rt>かれ</rt></ruby>は <ruby>自分<rt>じぶん</rt></ruby>の <ruby>非<rt>ひ</rt></ruby>を <ruby>認<rt>みと</rt></ruby>めて <ruby>謝<rt>あやま</rt></ruby>った。,He admitted he was wrong and apologized.,
調理<div class="hint">cookery; preparation</div>,ちょうり,cookery; preparation,この <ruby>魚<rt>さかな</rt></ruby>は <ruby>調理<rt>ちょうり</rt></ruby>が <ruby>難<rt>むずか</rt></ruby>しい。,Cooking this fish is difficult.,
整数<div class="hint">integer</div>,せいすう,integer,ゼロに 1ずつ <ruby>足<rt>た</rt></ruby>したり 1ずつ <ruby>引<rt>ひ</rt></ruby>いたりしてできる <ruby>数<rt>かず</rt></ruby>を <ruby>整数<rt>せいすう</rt></ruby>という。,Whole numbers added to or taken away from zero one by one are called integers.,
節<div class="hint">joint; melody</div>,ふし,joint; melody,<ruby>熱<rt>ねつ</rt></ruby>が <ruby>出<rt>で</rt></ruby>て <ruby>体<rt>からだ</rt></ruby>の <ruby>節々<rt>ふしぶし</rt></ruby>が <ruby>痛<rt>いた</rt></ruby>んだ。,I got a temperature and the joints all over my body ached.,
節<div class="hint">paragraph; time</div>,せつ,paragraph; time,<ruby>第<rt>だい</rt></ruby> 1 <ruby>節<rt>せつ</rt></ruby>を <ruby>要約<rt>ようやく</rt></ruby>してください。,Please summarize paragraph one.,
フィクション<div class="hint">fiction</div>,ふぃくしょん,fiction,<ruby>彼<rt>かれ</rt></ruby>はフィクションをよく <ruby>読<rt>よ</rt></ruby>みます。,He often reads fiction.,
検証<div class="hint">verification</div>,けんしょう,verification,<ruby>実験<rt>じっけん</rt></ruby>の <ruby>結果<rt>けっか</rt></ruby>を <ruby>詳<rt>くわ</rt></ruby>しく <ruby>検証<rt>けんしょう</rt></ruby>した。,The results of the experiment were carefully verified.,
検定<div class="hint">examination</div>,けんてい,examination,<ruby>検定<rt>けんてい</rt></ruby> <ruby>試験<rt>しけん</rt></ruby>に <ruby>合格<rt>ごうかく</rt></ruby>しました。,I passed the certificate examination.,
点検<div class="hint">inspection</div>,てんけん,inspection,<ruby>週<rt>しゅう</rt></ruby>に<ruby>一 <ruby>度<rt>ど</rt></ruby> <ruby>機械<rt>きかい</rt></ruby>を <ruby>点検<rt>てんけん</rt></ruby>してください。,Please inspect the machine once a week.,
検察<div class="hint">criminal investigation; prosecution</div>,けんさつ,criminal investigation; prosecution,<ruby>検察<rt>けんさつ</rt></ruby> <ruby>側<rt>がわ</rt></ruby>の <ruby>証人<rt>しょうにん</rt></ruby>を <ruby>呼<rt>よ</rt></ruby>んでください。,Please call the witness for the prosecution.,
検事<div class="hint">public prosecutor</div>,けんじ,public prosecutor,<ruby>法廷<rt>ほうてい</rt></ruby>の <ruby>左側<rt>ひだりがわ</rt></ruby>に <ruby>検事<rt>けんじ</rt></ruby>が <ruby>座<rt>すわ</rt></ruby>ります。,The public prosecutor sits at the left of the court.,
暗示<div class="hint">hint; suggestion</div>,あんじ,hint; suggestion,<ruby>暗<rt>くら</rt></ruby>い <ruby>雲<rt>くも</rt></ruby>が <ruby>彼<rt>かれ</rt></ruby>の <ruby>将来<rt>しょうらい</rt></ruby>を <ruby>暗示<rt>あんじ</rt></ruby>していた。,The dark cloud was a premonition of his future.,
図示<div class="hint">diagram; illustration</div>,ずし,diagram; illustration,<ruby>次<rt>つぎ</rt></ruby>のページに <ruby>構造<rt>こうぞう</rt></ruby>が <ruby>図示<rt>ずし</rt></ruby>されています。,The structure is shown in the figure on the following page.,
票<div class="hint">ballot; vote</div>,ひょう,ballot; vote,その <ruby>選挙<rt>せんきょ</rt></ruby>で <ruby>彼<rt>かれ</rt></ruby>は <ruby>最高<rt>さいこう</rt></ruby> <ruby>票<rt>ひょう</rt></ruby>を <ruby>獲得<rt>かくとく</rt></ruby>した。,He got the majority vote in the election.,
標識<div class="hint">beacon; sign</div>,ひょうしき,beacon; sign,この <ruby>道<rt>みち</rt></ruby>は <ruby>標識<rt>ひょうしき</rt></ruby>では <ruby>行き<ruby>止<rt>いきど</rt></ruby>まりになっている。,According to the sign; this road is a dead end.,
標本<div class="hint">sample; specimen</div>,ひょうほん,sample; specimen,<ruby>博物館<rt>はくぶつかん</rt></ruby>で <ruby>珍<rt>めずら</rt></ruby>しい <ruby>蝶<rt>ちょう</rt></ruby>の <ruby>標本<rt>ひょうほん</rt></ruby>を <ruby>見<rt>み</rt></ruby>た。,I saw a specimen of a rare butterfly in the museum.,
連合<div class="hint">alliance</div>,れんごう,alliance,その <ruby>国<rt>くに</rt></ruby>は <ruby>連合<rt>れんごう</rt></ruby> <ruby>軍<rt>ぐん</rt></ruby>に <ruby>加<rt>くわ</rt></ruby>わった。,That country joined the allied forces.,
連中<div class="hint">party; those fellows</div>,れんちゅう,party; those fellows,あの <ruby>連中<rt>れんちゅう</rt></ruby>は <ruby>本当<rt>ほんとう</rt></ruby>に <ruby>面白<rt>おもしろ</rt></ruby>い。,That bunch is really interesting.,
絡む<div class="hint">entwine; twine around</div>,からむ,entwine; twine around,<ruby>釣り<ruby>糸<rt>つりいと</rt></ruby>が <ruby>絡<rt>から</rt></ruby>んで <ruby>解<rt>と</rt></ruby>けません。,The fishing line is tangled and I can't untangle it.,
引き続き<div class="hint">continuously</div>,ひきつづき,continuously,<ruby>引き<ruby>続<rt>ひきつづ</rt></ruby>きよろしくお <ruby>願<rt>ねが</rt></ruby>いします。,I ask for your continued favor.,
キャンパス<div class="hint">campus</div>,きゃんぱす,campus,ここは <ruby>医学部<rt>いがくぶ</rt></ruby>のキャンパスです。,This is the Department of Medicine campus.,
持続<div class="hint">continuation</div>,じぞく,continuation,このままでは <ruby>経営<rt>けいえい</rt></ruby>の <ruby>持続<rt>じぞく</rt></ruby>は <ruby>困難<rt>こんなん</rt></ruby>です。,It's difficult for the business to sustain itself; if things continue like this.,
続出<div class="hint">one after another</div>,ぞくしゅつ,one after another,そのゲームは <ruby>人気<rt>にんき</rt></ruby>のため <ruby>売り<ruby>切<rt>うりき</rt></ruby>れが <ruby>続出<rt>ぞくしゅつ</rt></ruby>している。,The game keeps selling out because it is popular.,
