鬘<div class="hint">toupee; wig</div>,かつら,toupee; wig,<ruby>彼<rt>かれ</rt></ruby>はかつらをつけているらしい。,He seems to be wearing a wig.,
加害者<div class="hint">assailant; assaulter</div>,かがいしゃ,assailant; assaulter,<ruby>加害<rt>かがい</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>は <ruby>重<rt>おも</rt></ruby>い <ruby>責任<rt>せきにん</rt></ruby>を <ruby>問<rt>と</rt></ruby>われている。,The assailant was held responsible.,
害する<div class="hint">harm; injure</div>,がいする,harm; injure,<ruby>不規則<rt>ふきそく</rt></ruby>な <ruby>生活<rt>せいかつ</rt></ruby>は <ruby>健康<rt>けんこう</rt></ruby>を <ruby>害<rt>がい</rt></ruby>します。,An irregular routine can damage your health.,
後援<div class="hint">backing; support</div>,こうえん,backing; support,この <ruby>芝居<rt>しばい</rt></ruby>の <ruby>後援<rt>こうえん</rt></ruby>は テレビ<ruby>局<rt>てれびきょく</rt></ruby>です。,A TV station is sponsoring this play.,
相殺<div class="hint">cancellation; offset</div>,そうさい,cancellation; offset,<ruby>借入金<rt>かりいれきん</rt></ruby>と <ruby>預金<rt>よきん</rt></ruby>を <ruby>相殺<rt>そうさい</rt></ruby>した。,My borrowings and savings cancelled each other out.,
人殺し<div class="hint">murder; murderer</div>,ひとごろし,murder; murderer,その <ruby>人殺<rt>ひとごろ</rt></ruby>しはやっと <ruby>捕<rt>つか</rt></ruby>まった。,The murderer was finally caught.,
他殺<div class="hint">homicide; murder</div>,たさつ,homicide; murder,その <ruby>事件<rt>じけん</rt></ruby>は <ruby>間違<rt>まちが</rt></ruby>いなく <ruby>他殺<rt>たさつ</rt></ruby>だ。,The case is murder; without a doubt.,
それとなく<div class="hint">indirectly</div>,それとなく,indirectly,<ruby>彼女<rt>かのじょ</rt></ruby>にそれとなく <ruby>注意<rt>ちゅうい</rt></ruby>しておいてください。,Please warn her indirectly.,
殺気<div class="hint">stormy atmosphere</div>,さっき,stormy atmosphere,<ruby>彼<rt>かれ</rt></ruby>は <ruby>背後<rt>はいご</rt></ruby>に <ruby>殺気<rt>さっき</rt></ruby>を <ruby>感<rt>かん</rt></ruby>じた。,He sensed a strange atmosphere behind him.,
捕らえる<div class="hint">capture; catch</div>,とらえる,capture; catch,<ruby>警察<rt>けいさつ</rt></ruby>が <ruby>犯人<rt>はんにん</rt></ruby>を <ruby>捕<rt>と</rt></ruby>らえた。,The police arrested the criminal.,
捕らわれる<div class="hint">be caught</div>,とらわれる,be caught,<ruby>私<rt>わたし</rt></ruby>は <ruby>先入観<rt>せんにゅうかん</rt></ruby>に <ruby>捕<rt>と</rt></ruby>らわれていました。,I was misled by my own preconceived notions.,
見逃す<div class="hint">miss; overlook</div>,みのがす,miss; overlook,ドラマの <ruby>最終<rt>さいしゅう</rt></ruby> <ruby>回<rt>かい</rt></ruby>を <ruby>見逃<rt>みのが</rt></ruby>した。,We missed the final episode of the drama.,
逃れる<div class="hint">escape; get clear of</div>,のがれる,escape; get clear of,<ruby>彼<rt>かれ</rt></ruby>はこの <ruby>苦<rt>くる</rt></ruby>しみから <ruby>逃<rt>のが</rt></ruby>れたかった。,He wanted to escape from this suffering.,
逃げ足<div class="hint">flight; running away</div>,にげあし,flight; running away,あいつは <ruby>逃げ<ruby>足<rt>にげあし</rt></ruby>だけは <ruby>速<rt>はや</rt></ruby>い。,He is only fast when he is running away.,
反戦<div class="hint">antiwar</div>,はんせん,antiwar,あのグループは <ruby>反戦<rt>はんせん</rt></ruby>を <ruby>訴<rt>うった</rt></ruby>えています。,That group is taking action against the war.,
戦災<div class="hint">war damage</div>,せんさい,war damage,<ruby>日本<rt>にほん</rt></ruby>は <ruby>戦災<rt>せんさい</rt></ruby>から <ruby>立ち<ruby>直<rt>たちなお</rt></ruby>った。,Japan recovered from war damage.,
争議<div class="hint">dispute; strike</div>,そうぎ,dispute; strike,<ruby>彼<rt>かれ</rt></ruby>はその 2 <ruby>社<rt>しゃ</rt></ruby> <ruby>間<rt>かん</rt></ruby>の <ruby>争議<rt>そうぎ</rt></ruby>が <ruby>解決<rt>かいけつ</rt></ruby>するよう <ruby>努<rt>つと</rt></ruby>めた。,He tried to resolve the dispute between the two companies.,
タンカー<div class="hint">tanker</div>,たんかー,tanker,タンカーが <ruby>入港<rt>にゅうこう</rt></ruby>した。,The tanker entered the port.,
反乱<div class="hint">rebellion; revolt</div>,はんらん,rebellion; revolt,<ruby>軍<rt>ぐん</rt></ruby>の <ruby>内部<rt>ないぶ</rt></ruby>で <ruby>反乱<rt>はんらん</rt></ruby>が <ruby>起<rt>お</rt></ruby>きた。,A revolt arose in the army.,
動乱<div class="hint">disturbance; upheaval</div>,どうらん,disturbance; upheaval,<ruby>今<rt>いま</rt></ruby>あの <ruby>国<rt>くに</rt></ruby>では <ruby>動乱<rt>どうらん</rt></ruby>が <ruby>起<rt>お</rt></ruby>きています。,Unrest is happening in that country now.,
乱雑<div class="hint">confusion; disorder</div>,らんざつ,confusion; disorder,<ruby>彼<rt>かれ</rt></ruby>は <ruby>仕事<rt>しごと</rt></ruby>が <ruby>乱雑<rt>らんざつ</rt></ruby>です。,His work is chaotic.,
紛れ<div class="hint">confusion</div>,まぐれ,confusion,まぐれでホールインワンしました。,I got a hole-in-one by accident.,
紛らわしい<div class="hint">confusing; misleading</div>,まぎらわしい,confusing; misleading,あの <ruby>二人<rt>ふたり</rt></ruby>の <ruby>名前<rt>なまえ</rt></ruby>は <ruby>紛<rt>まぎ</rt></ruby>らわしい。,Those two people's names are confusing.,
紛れる<div class="hint">be diverted from; get mixed with</div>,まぎれる,be diverted from; get mixed with,<ruby>犯人<rt>はんにん</rt></ruby>は <ruby>雑踏<rt>ざっとう</rt></ruby>に <ruby>紛<rt>まぎ</rt></ruby>れた。,The criminal took advantage of the bustle.,
紛らす<div class="hint">beguile; divert</div>,まぎらす,beguile; divert,<ruby>彼<rt>かれ</rt></ruby>は <ruby>淋<rt>さび</rt></ruby>しい <ruby>気持<rt>きも</rt></ruby>ちをジョークで <ruby>紛<rt>まぎ</rt></ruby>らした。,He hid his loneliness behind humor.,
総論<div class="hint">introduction; outline</div>,そうろん,introduction; outline,<ruby>物事<rt>ものごと</rt></ruby>を <ruby>説明<rt>せつめい</rt></ruby>するには <ruby>総論<rt>そうろん</rt></ruby>から <ruby>入<rt>はい</rt></ruby>ると <ruby>分<rt>わ</rt></ruby>かりやすい。,When explaining things; it is easy to understand if you start from the basics.,
手探り<div class="hint">groping</div>,てさぐり,groping,<ruby>暗闇<rt>くらやみ</rt></ruby>を <ruby>手探<rt>てさぐ</rt></ruby>りで <ruby>進<rt>すす</rt></ruby>みました。,I went forward groping in the dark.,
こそこそ<div class="hint">secretly; sneak</div>,こそこそ,secretly; sneak,<ruby>遅刻<rt>ちこく</rt></ruby>したのでこそこそ <ruby>教室<rt>きょうしつ</rt></ruby>に <ruby>入<rt>はい</rt></ruby>った。,I was late so I sneaked into the classroom.,
四捨五入<div class="hint">rounding off</div>,ししゃごにゅう,rounding off,10 <ruby>円<rt>えん</rt></ruby> <ruby>未満<rt>みまん</rt></ruby>は <ruby>四捨五入<rt>ししゃごにゅう</rt></ruby>してください。,Please round off amounts under ten yen.,
切り捨てる<div class="hint">cut down; omit</div>,きりすてる,cut down; omit,<ruby>小数点<rt>しょうすうてん</rt></ruby> <ruby>以下<rt>いか</rt></ruby>は <ruby>切り<ruby>捨<rt>きりす</rt></ruby>てて <ruby>下<rt>くだ</rt></ruby>さい。,Please round down to the nearest whole number.,
見捨てる<div class="hint">desert; forsake</div>,みすてる,desert; forsake,<ruby>私<rt>わたし</rt></ruby>たちを <ruby>見捨<rt>みす</rt></ruby>てないでください。,Please do not desert us.,
収拾<div class="hint">control</div>,しゅうしゅう,control,<ruby>群集<rt>ぐんしゅう</rt></ruby>が <ruby>騒ぎ<ruby>出<rt>さわぎだ</rt></ruby>して <ruby>収拾<rt>しゅうしゅう</rt></ruby>がつきません。,The crowd starts to get excited and cannot be controlled.,
欲深<div class="hint">greedy</div>,よくぶか,greedy,<ruby>彼<rt>かれ</rt></ruby>は <ruby>欲深<rt>よくふか</rt></ruby>な <ruby>人<rt>ひと</rt></ruby>です。,He is a greedy person.,
用心深い<div class="hint">careful</div>,ようじんぶかい,careful,<ruby>彼<rt>かれ</rt></ruby>は <ruby>用心深<rt>ようじんぶか</rt></ruby>い <ruby>人<rt>ひと</rt></ruby>です。,He is a cautious person.,
欲深い<div class="hint">greedy</div>,よくぶかい,greedy,あの <ruby>人<rt>ひと</rt></ruby>は <ruby>欲<rt>よく</rt></ruby> <ruby>深<rt>ふか</rt></ruby>い。,That person is greedy.,
情け深い<div class="hint">compassionate; kindhearted</div>,なさけぶかい,compassionate; kindhearted,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>情け<ruby>深<rt>なさけぶか</rt></ruby>い <ruby>人<rt>ひと</rt></ruby>です。,She is a compassionate person.,
浅はか<div class="hint">frivolous; thoughtless</div>,あさはか,frivolous; thoughtless,ご <ruby>免<rt>めん</rt></ruby>なさい <ruby>私<rt>わたし</rt></ruby>が <ruby>浅<rt>あさ</rt></ruby>はかでした。,I am sorry; I was being thoughtless.,
おなら<div class="hint">fart</div>,おなら,fart,<ruby>人前<rt>ひとまえ</rt></ruby>でおならをしてしまった。,I farted in front of other people.,
落ち込む<div class="hint">fall into depression</div>,おちこむ,fall into depression,<ruby>彼<rt>かれ</rt></ruby>は <ruby>仕事<rt>しごと</rt></ruby>のことで <ruby>落ち<ruby>込<rt>おちこ</rt></ruby>んでいます。,He is depressed about work.,
落ちこぼれ<div class="hint">dropout</div>,おちこぼれ,dropout,<ruby>私<rt>わたし</rt></ruby>は <ruby>中学校<rt>ちゅうがっこう</rt></ruby> <ruby>時代<rt>じだい</rt></ruby>は <ruby>落<rt>お</rt></ruby>ちこぼれでした。,I was a hopeless student during my junior high school days.,
手落ち<div class="hint">error; omission</div>,ておち,error; omission,<ruby>私<rt>わたし</rt></ruby>の <ruby>手落<rt>てお</rt></ruby>ちでみんなに <ruby>迷惑<rt>めいわく</rt></ruby>をかけてしまった。,My oversight has caused everyone trouble.,
落ち合う<div class="hint">join; meet</div>,おちあう,join; meet,3 <ruby>時<rt>じ</rt></ruby>に <ruby>東京<rt>とうきょう</rt></ruby> <ruby>駅<rt>えき</rt></ruby>で <ruby>落ち<ruby>合<rt>おちあ</rt></ruby>いましょう。,Let's meet at Tokyo Station at three o'clock.,
寒波<div class="hint">cold wave</div>,かんぱ,cold wave,その <ruby>地域<rt>ちいき</rt></ruby>は <ruby>寒波<rt>かんぱ</rt></ruby>に <ruby>見舞<rt>みま</rt></ruby>われています。,The region is suffering from a cold snap.,
流行歌<div class="hint">popular song</div>,りゅうこうか,popular song,<ruby>彼<rt>かれ</rt></ruby>は <ruby>大昔<rt>おおむかし</rt></ruby>の <ruby>流行<rt>りゅうこう</rt></ruby> <ruby>歌<rt>か</rt></ruby>を <ruby>口<rt>くち</rt></ruby>ずさんだ。,He hummed a popular song from years ago.,
雪崩<div class="hint">avalanche</div>,なだれ,avalanche,<ruby>急<rt>きゅう</rt></ruby>に <ruby>暖<rt>あたた</rt></ruby>かくなったので <ruby>雪崩<rt>なだれ</rt></ruby>に <ruby>気<rt>き</rt></ruby>をつけてください。,It has suddenly got warmer so please be careful of avalanches.,
浮かれる<div class="hint">be gay; become buoyant</div>,うかれる,be gay; become buoyant,<ruby>姉<rt>あね</rt></ruby>は <ruby>彼<rt>かれ</rt></ruby>ができて <ruby>浮<rt>う</rt></ruby>かれています。,My older sister is excited because she has a boyfriend.,
いやに<div class="hint">awfully</div>,いやに,awfully,<ruby>彼<rt>かれ</rt></ruby>は <ruby>今日<rt>きょう</rt></ruby>はいやになれなれしい。,He is uncomfortably over-friendly today.,
没頭<div class="hint">absorption</div>,ぼっとう,absorption,<ruby>私<rt>わたし</rt></ruby>は <ruby>最近<rt>さいきん</rt></ruby>ヨガに <ruby>没頭<rt>ぼっとう</rt></ruby>しています。,I am obsessed with yoga these days.,
久しい<div class="hint">long; longstanding</div>,ひさしい,long; longstanding,<ruby>彼女<rt>かのじょ</rt></ruby>と <ruby>最後<rt>さいご</rt></ruby>に <ruby>会<rt>あ</rt></ruby>ってから <ruby>久<rt>ひさ</rt></ruby>しいです。,It is a long time since I last saw her.,
氷山<div class="hint">iceberg</div>,ひょうざん,iceberg,この <ruby>事件<rt>じけん</rt></ruby>は <ruby>氷山<rt>ひょうざん</rt></ruby>の <ruby>一角<rt>いっかく</rt></ruby>に <ruby>過<rt>す</rt></ruby>ぎません。,This case is merely the tip of the iceberg.,
冷戦<div class="hint">Cold War</div>,れいせん,Cold War,その <ruby>時<rt>とき</rt></ruby> <ruby>東西<rt>とうざい</rt></ruby>の <ruby>冷戦<rt>れいせん</rt></ruby>が <ruby>終<rt>お</rt></ruby>わった。,Then the Cold War between the East and West came to an end.,
冷ややか<div class="hint">cold; frigid</div>,ひややか,cold; frigid,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>態度<rt>たいど</rt></ruby>は <ruby>冷<rt>ひ</rt></ruby>ややかでした。,Her attitude was cold.,
凍える<div class="hint">be chilled; be frozen</div>,こごえる,be chilled; be frozen,<ruby>今夜<rt>こんや</rt></ruby>は <ruby>凍<rt>こご</rt></ruby>えるほど <ruby>寒<rt>さむ</rt></ruby>い。,It is cold enough to freeze tonight.,
全快<div class="hint">complete recovery</div>,ぜんかい,complete recovery,<ruby>風邪<rt>かぜ</rt></ruby>は 3<ruby>日<rt>みっか</rt></ruby> <ruby>寝<rt>ね</rt></ruby>たら <ruby>全快<rt>ぜんかい</rt></ruby>しました。,I slept for three days and recuperated completely from the cold.,
摘む<div class="hint">pick; pluck</div>,つむ,pick; pluck,お <ruby>花<rt>はな</rt></ruby>を <ruby>摘<rt>つ</rt></ruby>んできました。,I picked some flowers.,
涼む<div class="hint">cool oneself</div>,すずむ,cool oneself,<ruby>木陰<rt>こかげ</rt></ruby>に <ruby>入<rt>はい</rt></ruby>って <ruby>少<rt>すこ</rt></ruby>し <ruby>涼<rt>すず</rt></ruby>みましょう。,Let's go under shade of a tree and cool off a little.,
どたばた<div class="hint">noise; thumping</div>,どたばた,noise; thumping,<ruby>家<rt>いえ</rt></ruby>の <ruby>中<rt>なか</rt></ruby>をどたばた <ruby>走り<ruby>回<rt>はしりまわ</rt></ruby>ってはいけません。,Don't run noisily inside the house.,
多湿<div class="hint">high humidity</div>,たしつ,high humidity,<ruby>日本<rt>にほん</rt></ruby>の <ruby>夏<rt>なつ</rt></ruby>は <ruby>多湿<rt>たしつ</rt></ruby>だ。,Japanese summer is humid.,
汚職<div class="hint">bribery; corruption</div>,おしょく,bribery; corruption,<ruby>官僚<rt>かんりょう</rt></ruby>の <ruby>汚職<rt>おしょく</rt></ruby>が <ruby>問題<rt>もんだい</rt></ruby>になっています。,Bureaucratic corruption is becoming a problem.,
染まる<div class="hint">be dyed; take color</div>,そまる,be dyed; take color,<ruby>麻<rt>あさ</rt></ruby>はきれいに <ruby>染<rt>そ</rt></ruby>まります。,The hemp is beautifully dyed.,
染みる<div class="hint">permeate; soak into</div>,しみる,permeate; soak into,ジュースが <ruby>床<rt>ゆか</rt></ruby>マットに <ruby>染<rt>し</rt></ruby>みた。,The juice soaked into the floor mat.,
排気ガス<div class="hint">exhaust gas</div>,はいきがす,exhaust gas,<ruby>排気<rt>はいき</rt></ruby>ガスは <ruby>公害<rt>こうがい</rt></ruby>の <ruby>原因<rt>げんいん</rt></ruby>となっている。,Vehicle exhaust emissions cause pollution.,
排日<div class="hint">anti-Japanese</div>,はいにち,anti-Japanese,<ruby>戦前<rt>せんぜん</rt></ruby>アメリカで <ruby>排日<rt>はいにち</rt></ruby> <ruby>運動<rt>うんどう</rt></ruby>が <ruby>起<rt>お</rt></ruby>きた。,Before the war; an anti-Japanese movement arose in the United States.,
